primary_topic,source,currency,programme_name_clean,grant_count,median_award_amount,first_award_year,latest_award_year
Cheminformatics,CORDIS,EUR,Tools to measure and stimulate activity in Brain Tissue,1,3360825.0,2022,2022
Cheminformatics,NSF,USD,Environmental Chemical Science,2,201386.0,2021,2021
Cheminformatics,NSF,USD,Plant-Biotic Interactions,2,241872.0,2025,2025
Cheminformatics,NSF,USD,ACED-Accl Comp Enabled Sci Dis,1,500000.0,2025,2025
Cheminformatics,NSF,USD,BIOSENS-Biosensing,1,550000.0,2023,2023
Cheminformatics,NSF,USD,"CDS&E, CDS&E-MSS",1,594633.0,2023,2023
Cheminformatics,NSF,USD,Cellular & Biochem Engineering,1,550000.0,2025,2025
Cheminformatics,NSF,USD,"Chem Thry, Mdls & Cmptnl Mthds",1,450000.0,2021,2021
Cheminformatics,NSF,USD,EPSCoR RII: EPSCoR Research Fe,1,191801.0,2023,2023
Cheminformatics,NSF,USD,Info Integration & Informatics,1,499995.0,2021,2021
Cheminformatics,NSF,USD,OKN-Open Knowledge Networks,1,1454200.0,2023,2023
Materials informatics,CORDIS,EUR,"Furthering the development of a materials acceleration platform for sustainable batteries (combining AI, big data, autonomous synthesis robotics, high throughput testing) (Batt4EU Partnership)",1,19949437.0,2025,2025
Materials informatics,CORDIS,EUR,MSCA Postdoctoral Fellowships 2021,1,181153.0,2023,2023
Materials informatics,NSF,USD,DMREF,35,534000.0,2021,2025
Materials informatics,NSF,USD,"DMREF, ELECTRONIC/PHOTONIC MATERIALS",7,375000.0,2023,2024
Materials informatics,NSF,USD,"DMREF, METAL & METALLIC NANOSTRUCTURE",3,1799747.0,2021,2024
Materials informatics,NSF,USD,"DMREF, OFFICE OF MULTIDISCIPLINARY AC",3,1000000.0,2023,2025
Materials informatics,NSF,USD,METAL & METALLIC NANOSTRUCTURE,3,579723.0,2025,2025
Materials informatics,NSF,USD,CONDENSED MATTER & MAT THEORY,2,318340.0,2023,2024
Materials informatics,NSF,USD,CyberTraining - Training-based,2,500000.0,2021,2021
Materials informatics,NSF,USD,Interfacial Engineering Progra,2,413495.0,2021,2021
Materials informatics,NSF,USD,LEAPS-MPS,2,249793.0,2023,2023
Materials informatics,NSF,USD,OFFICE OF MULTIDISCIPLINARY AC,2,1119372.0,2021,2022
Molecular machine learning,NSF,USD,ACED-Accl Comp Enabled Sci Dis,3,280000.0,2025,2025
Molecular machine learning,NSF,USD,Innovation: Bioinformatics,3,299320.0,2023,2023
Molecular machine learning,NSF,USD,Campus Cyberinfrastructure,1,981182.0,2023,2023
Molecular machine learning,NSF,USD,I-Corps,1,50000.0,2025,2025
Molecular machine learning,NSF,USD,Info Integration & Informatics,1,566128.0,2024,2024
Reaction prediction,CORDIS,EUR,ERC ADVANCED GRANTS,1,2499250.0,2023,2023
Reaction prediction,CORDIS,EUR,ERC CONSOLIDATOR GRANTS,1,2000000.0,2022,2022
Reaction prediction,CORDIS,EUR,ERC PROOF OF CONCEPT GRANTS,1,150000.0,2025,2025
Reaction prediction,NSF,USD,"Chem Thry, Mdls & Cmptnl Mthds",2,534339.0,2022,2022
Reaction prediction,NSF,USD,Chemical Catalysis,2,624794.0,2022,2023
Reaction prediction,NSF,USD,"CMFP-Chem Mech Funct, and Prop, OFFICE OF MULTIDISCIPLINARY AC, Chemical Synthesis",1,549996.0,2025,2025
Reaction prediction,NSF,USD,Chemical Synthesis,1,770000.0,2023,2023
Reaction prediction,NSF,USD,GALACTIC ASTRONOMY PROGRAM,1,493008.0,2024,2024
Reaction prediction,NSF,USD,Phase I Ctrs for Chem Innovati,1,1800000.0,2022,2022
Reaction prediction,NSF,USD,TIP-CHIPS KTA-7 Biotech/Synbio,1,7199398.0,2025,2025
